Montreal & Tecnologia & Inovação,Efetivo,Efetivo,Desenvolvedor de Software Fullstack (Java 11 e Vue.js),https://montreal.gupy.io/job/eyJqb2JJZCI6ODIyNjEwNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 02/12/2024
Montreal & Tecnologia & Inovação,Efetivo,Efetivo,Desenvolvedor de Software Fullstack (Java e Vue.js),https://montreal.gupy.io/job/eyJqb2JJZCI6ODIyMzcyMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 02/12/2024
Minsait an Indra Company,Efetivo,Efetivo,Desenvolvedor Java Fullstack Sênior,https://minsait.gupy.io/job/eyJqb2JJZCI6ODEzMjc1NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 29/11/2024
SoftDesign,Efetivo,Efetivo,Software Engineer | FullStack | Java | React,https://softdesign.gupy.io/job/eyJqb2JJZCI6ODE5MDQxNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 26/11/2024
Compass UOL,Efetivo,Efetivo,React/Java Fullstack Developer | Senior,https://compass.gupy.io/job/eyJqb2JJZCI6ODA4MzY4Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 25/11/2024
Montreal & Tecnologia & Inovação,Efetivo,Efetivo,Desenvolvedor de Software Fullstack (React Native e Node.js),https://montreal.gupy.io/job/eyJqb2JJZCI6ODIyNTk3Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 02/12/2024
Radix Engenharia e Software,Efetivo,Efetivo,Profissional de Desenvolvimento Fullstack Pleno (React e Python),https://radixeng.gupy.io/job/eyJqb2JJZCI6ODIxMTc3MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 02/12/2024
Inatel,Efetivo,Efetivo,PDI SW - Pessoa Desenvolvedora Fullstack II (React Native / React / NodeJS),https://inatel.gupy.io/job/eyJqb2JJZCI6ODIyNDI5MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 02/12/2024
Dentsu World Services Brazil,Efetivo,Efetivo,Senior Fullstack Developer [react+node],https://dwsbrazil.gupy.io/job/eyJqb2JJZCI6ODA1MzQ5Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 30/10/2024
Deliver IT,Efetivo,Efetivo,Desenvolvedor Fullstack .Net/React Sênior - Projeto Internacional,https://deliverit.gupy.io/job/eyJqb2JJZCI6Nzk1OTc3Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 11/10/2024
Instituto de Pesquisas ELDORADO,Efetivo,Efetivo,Pessoa Desenvolvedora Fullstack React senior,https://institutoeldorado.gupy.io/job/eyJqb2JJZCI6Nzc0NTc1Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 19/09/2024
VENHA SER #SANGUELARANJA 🧡🚀,Efetivo,Efetivo,Pessoa Desenvolvedora Backend Java + Node (Microserviços) - Sênior,https://fcamara.gupy.io/job/eyJqb2JJZCI6ODMwODc2Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 17/12/2024
Carreiras SoftExpert,Efetivo,Efetivo,Pessoa Desenvolvedora Java Pleno,https://softexpert.gupy.io/job/eyJqb2JJZCI6ODMxMDUwNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 17/12/2024
